evaluations raw_y
1 0.0000000000
2 185.0000000000
3 308.0000000000
7 318.0000000000
9 362.0000000000
12 370.0000000000
14 401.0000000000
18 443.0000000000
29 495.0000000000
46 512.0000000000
58 514.0000000000
140 517.0000000000
160 520.0000000000
175 522.0000000000
207 528.0000000000
218 538.0000000000
267 539.0000000000
474 540.0000000000
475 541.0000000000
486 544.0000000000
1073 545.0000000000
1133 553.0000000000
1282 554.0000000000
1377 556.0000000000
1466 558.0000000000
1612 559.0000000000
2174 561.0000000000
2567 563.0000000000
3309 565.0000000000
3419 567.0000000000
11484 569.0000000000
21549 570.0000000000
47614 572.0000000000
100000 469.0000000000
evaluations raw_y
1 0.0000000000
2 131.0000000000
6 169.0000000000
7 242.0000000000
8 255.0000000000
9 332.0000000000
15 335.0000000000
16 378.0000000000
18 407.0000000000
19 425.0000000000
20 461.0000000000
26 492.0000000000
38 510.0000000000
106 514.0000000000
122 521.0000000000
128 528.0000000000
162 530.0000000000
301 534.0000000000
406 535.0000000000
409 536.0000000000
422 537.0000000000
496 538.0000000000
552 541.0000000000
622 545.0000000000
660 550.0000000000
1274 554.0000000000
2281 556.0000000000
3195 558.0000000000
3596 560.0000000000
6335 563.0000000000
12875 564.0000000000
13499 565.0000000000
13801 566.0000000000
26405 567.0000000000
100000 533.0000000000
evaluations raw_y
1 0.0000000000
2 172.0000000000
3 288.0000000000
4 321.0000000000
5 330.0000000000
9 379.0000000000
11 417.0000000000
13 434.0000000000
14 436.0000000000
15 472.0000000000
19 483.0000000000
45 485.0000000000
57 498.0000000000
70 504.0000000000
158 510.0000000000
160 514.0000000000
164 520.0000000000
282 525.0000000000
302 530.0000000000
354 535.0000000000
766 538.0000000000
768 544.0000000000
1057 547.0000000000
1142 548.0000000000
1632 551.0000000000
2090 556.0000000000
5682 557.0000000000
6324 561.0000000000
9436 563.0000000000
12129 565.0000000000
18159 566.0000000000
26081 567.0000000000
53647 571.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 104.0000000000
3 112.0000000000
6 262.0000000000
11 348.0000000000
12 362.0000000000
14 392.0000000000
15 424.0000000000
23 452.0000000000
26 453.0000000000
29 474.0000000000
30 504.0000000000
51 508.0000000000
135 514.0000000000
159 523.0000000000
171 527.0000000000
191 528.0000000000
337 531.0000000000
388 538.0000000000
634 540.0000000000
736 541.0000000000
839 543.0000000000
1218 545.0000000000
1558 546.0000000000
1728 548.0000000000
2016 552.0000000000
2243 554.0000000000
3325 557.0000000000
3424 559.0000000000
3568 562.0000000000
3651 565.0000000000
3676 566.0000000000
7612 572.0000000000
100000 497.0000000000
evaluations raw_y
1 0.0000000000
2 102.0000000000
4 194.0000000000
7 253.0000000000
8 322.0000000000
24 329.0000000000
25 369.0000000000
28 392.0000000000
31 417.0000000000
36 452.0000000000
43 483.0000000000
49 510.0000000000
80 512.0000000000
136 522.0000000000
234 527.0000000000
240 529.0000000000
359 536.0000000000
613 538.0000000000
822 539.0000000000
889 540.0000000000
890 542.0000000000
895 544.0000000000
997 545.0000000000
1163 547.0000000000
1295 553.0000000000
2706 557.0000000000
2772 558.0000000000
2833 561.0000000000
2995 562.0000000000
3184 563.0000000000
3215 564.0000000000
3970 566.0000000000
10815 568.0000000000
14662 569.0000000000
15789 571.0000000000
66556 572.0000000000
100000 550.0000000000
evaluations raw_y
1 0.0000000000
2 291.0000000000
14 337.0000000000
15 342.0000000000
23 395.0000000000
28 471.0000000000
31 513.0000000000
144 515.0000000000
153 516.0000000000
168 526.0000000000
246 528.0000000000
329 530.0000000000
369 535.0000000000
382 542.0000000000
415 546.0000000000
480 551.0000000000
530 554.0000000000
1322 555.0000000000
1453 557.0000000000
2290 558.0000000000
2973 563.0000000000
6450 565.0000000000
7916 567.0000000000
14548 570.0000000000
100000 444.0000000000
evaluations raw_y
1 0.0000000000
2 108.0000000000
5 173.0000000000
6 199.0000000000
7 314.0000000000
11 370.0000000000
