evaluations raw_y
1 0.0000000000
2 167.0000000000
3 293.0000000000
6 348.0000000000
7 365.0000000000
9 408.0000000000
11 417.0000000000
14 502.0000000000
15 538.0000000000
16 573.0000000000
21 599.0000000000
42 606.0000000000
118 615.0000000000
127 633.0000000000
137 634.0000000000
177 642.0000000000
192 673.0000000000
215 675.0000000000
446 680.0000000000
580 682.0000000000
867 686.0000000000
941 687.0000000000
1114 689.0000000000
1227 692.0000000000
1517 696.0000000000
1643 698.0000000000
2235 699.0000000000
2630 700.0000000000
3745 702.0000000000
5221 704.0000000000
6322 707.0000000000
6366 710.0000000000
7135 713.0000000000
21118 714.0000000000
21915 715.0000000000
25941 716.0000000000
28555 717.0000000000
100000 589.0000000000
evaluations raw_y
1 0.0000000000
2 70.0000000000
3 147.0000000000
5 156.0000000000
7 242.0000000000
10 410.0000000000
14 453.0000000000
19 477.0000000000
20 500.0000000000
27 512.0000000000
28 520.0000000000
29 541.0000000000
30 592.0000000000
35 601.0000000000
36 606.0000000000
59 610.0000000000
60 612.0000000000
64 621.0000000000
65 634.0000000000
66 643.0000000000
99 645.0000000000
111 661.0000000000
158 663.0000000000
166 667.0000000000
194 670.0000000000
322 675.0000000000
586 681.0000000000
602 683.0000000000
695 689.0000000000
723 692.0000000000
1190 693.0000000000
1287 694.0000000000
4144 698.0000000000
4321 703.0000000000
4873 706.0000000000
4954 708.0000000000
5662 710.0000000000
6591 711.0000000000
7590 712.0000000000
15611 715.0000000000
18240 716.0000000000
18244 718.0000000000
29519 720.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 144.0000000000
4 215.0000000000
5 289.0000000000
6 303.0000000000
7 319.0000000000
12 471.0000000000
13 514.0000000000
15 532.0000000000
16 546.0000000000
17 553.0000000000
18 564.0000000000
25 577.0000000000
26 602.0000000000
39 613.0000000000
67 634.0000000000
75 659.0000000000
163 661.0000000000
175 662.0000000000
184 665.0000000000
234 666.0000000000
342 674.0000000000
516 675.0000000000
558 676.0000000000
679 677.0000000000
819 678.0000000000
917 681.0000000000
1260 683.0000000000
1409 690.0000000000
1770 691.0000000000
1862 693.0000000000
2221 698.0000000000
2265 706.0000000000
6018 709.0000000000
7019 711.0000000000
8413 712.0000000000
9621 713.0000000000
12771 714.0000000000
12911 716.0000000000
21089 717.0000000000
27371 718.0000000000
39870 722.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 264.0000000000
3 381.0000000000
4 408.0000000000
5 457.0000000000
6 507.0000000000
8 576.0000000000
22 601.0000000000
23 619.0000000000
25 624.0000000000
33 642.0000000000
144 645.0000000000
154 646.0000000000
178 653.0000000000
224 657.0000000000
231 662.0000000000
257 668.0000000000
332 669.0000000000
536 670.0000000000
677 675.0000000000
695 678.0000000000
792 679.0000000000
871 680.0000000000
891 682.0000000000
903 684.0000000000
1008 685.0000000000
1009 686.0000000000
1117 690.0000000000
2130 691.0000000000
2159 693.0000000000
2180 694.0000000000
2423 695.0000000000
2520 698.0000000000
5122 703.0000000000
6096 704.0000000000
6468 706.0000000000
6538 707.0000000000
6558 711.0000000000
8814 714.0000000000
11391 715.0000000000
11766 716.0000000000
23046 717.0000000000
26216 718.0000000000
100000 274.0000000000
evaluations raw_y
1 0.0000000000
2 211.0000000000
3 277.0000000000
4 347.0000000000
5 499.0000000000
10 538.0000000000
11 576.0000000000
37 601.0000000000
55 614.0000000000
56 621.0000000000
74 623.0000000000
107 625.0000000000
108 638.0000000000
185 644.0000000000
196 649.0000000000
235 656.0000000000
244 657.0000000000
351 663.0000000000
397 675.0000000000
406 681.0000000000
698 683.0000000000
729 684.0000000000
814 685.0000000000
825 686.0000000000
877 689.0000000000
1422 690.0000000000
1520 692.0000000000
1529 693.0000000000
1841 695.0000000000
2045 696.0000000000
2049 701.0000000000
2210 706.0000000000
5941 707.0000000000
6317 709.0000000000
6678 710.0000000000
9083 711.0000000000
9250 712.0000000000
9408 713.0000000000
9502 714.0000000000
10320 716.0000000000
11266 717.0000000000
18729 718.0000000000
20193 719.0000000000
100000 551.0000000000
evaluations raw_y
1 0.0000000000
2 83.0000000000
3 217.0000000000
6 326.0000000000
8 349.0000000000
9 377.0000000000
11 435.0000000000
13 527.0000000000
24 588.0000000000
31 599.0000000000
40 603.0000000000
44 607.0000000000
74 622.0000000000
96 629.0000000000
99 634.0000000000
177 647.0000000000
187 649.0000000000
207 650.0000000000
210 652.0000000000
219 656.0000000000
221 669.0000000000
306 675.0000000000
342 678.0000000000
389 686.0000000000
1246 688.0000000000
1361 691.0000000000
1969 692.0000000000
2109 695.0000000000
2208 696.0000000000
3122 699.0000000000
3203 700.0000000000
3627 705.0000000000
3767 706.0000000000
6225 707.0000000000
6472 714.0000000000
27453 715.0000000000
30264 717.0000000000
83102 719.0000000000
83255 723.0000000000
86782 724.0000000000
100000 372.0000000000
evaluations raw_y
1 0.0000000000
2 158.0000000000
3 234.0000000000
4 292.0000000000
6 366.0000000000
8 421.0000000000
11 465.0000000000
12 506.0000000000
14 580.0000000000
22 596.0000000000
29 600.0000000000
31 622.0000000000
84 625.0000000000
97 643.0000000000
107 645.0000000000
154 654.0000000000
173 655.0000000000
215 660.0000000000
236 675.0000000000
565 679.0000000000
791 682.0000000000
884 685.0000000000
1338 691.0000000000
1371 693.0000000000
1584 694.0000000000
2183 703.0000000000
3351 704.0000000000
3367 705.0000000000
3538 706.0000000000
3912 709.0000000000
3934 710.0000000000
4231 712.0000000000
6710 714.0000000000
17956 715.0000000000
27036 716.0000000000
53380 717.0000000000
54103 718.0000000000
55104 720.0000000000
56522 721.0000000000
100000 598.0000000000
evaluations raw_y
1 0.0000000000
2 109.0000000000
3 238.0000000000
9 307.0000000000
10 368.0000000000
13 380.0000000000
15 404.0000000000
17 458.0000000000
18 471.0000000000
24 527.0000000000
29 614.0000000000
40 622.0000000000
77 634.0000000000
114 646.0000000000
170 668.0000000000
232 670.0000000000
434 680.0000000000
470 685.0000000000
557 686.0000000000
1123 688.0000000000
1207 690.0000000000
1674 692.0000000000
2073 695.0000000000
2313 698.0000000000
2623 702.0000000000
3048 707.0000000000
4508 709.0000000000
12298 710.0000000000
13380 711.0000000000
14886 713.0000000000
16091 715.0000000000
100000 312.0000000000
evaluations raw_y
1 0.0000000000
2 128.0000000000
3 290.0000000000
7 321.0000000000
9 383.0000000000
13 391.0000000000
15 531.0000000000
21 565.0000000000
22 578.0000000000
33 611.0000000000
53 634.0000000000
62 652.0000000000
248 656.0000000000
346 659.0000000000
398 662.0000000000
503 668.0000000000
695 678.0000000000
823 679.0000000000
1245 685.0000000000
1354 686.0000000000
1423 687.0000000000
1443 688.0000000000
1451 690.0000000000
1510 693.0000000000
2181 697.0000000000
2893 701.0000000000
5250 702.0000000000
6400 703.0000000000
7454 705.0000000000
8289 706.0000000000
11787 708.0000000000
11791 710.0000000000
15670 711.0000000000
15717 712.0000000000
15893 713.0000000000
16329 715.0000000000
16931 716.0000000000
21257 717.0000000000
22054 720.0000000000
29937 721.0000000000
32288 722.0000000000
100000 671.0000000000
evaluations raw_y
1 0.0000000000
2 103.0000000000
3 296.0000000000
4 368.0000000000
5 442.0000000000
9 519.0000000000
13 536.0000000000
14 560.0000000000
21 571.0000000000
23 584.0000000000
31 585.0000000000
41 602.0000000000
43 622.0000000000
70 624.0000000000
72 628.0000000000
84 646.0000000000
106 650.0000000000
146 659.0000000000
152 671.0000000000
240 674.0000000000
472 678.0000000000
496 690.0000000000
1048 692.0000000000
1109 693.0000000000
1167 694.0000000000
1832 696.0000000000
1967 701.0000000000
2483 704.0000000000
2538 708.0000000000
2690 714.0000000000
4315 717.0000000000
5661 719.0000000000
50967 720.0000000000
52164 721.0000000000
73905 722.0000000000
100000 708.0000000000
evaluations raw_y
1 0.0000000000
2 94.0000000000
3 302.0000000000
4 361.0000000000
6 364.0000000000
7 425.0000000000
9 461.0000000000
12 512.0000000000
17 597.0000000000
38 598.0000000000
44 612.0000000000
48 615.0000000000
63 639.0000000000
104 644.0000000000
116 648.0000000000
117 649.0000000000
224 657.0000000000
255 667.0000000000
366 669.0000000000
400 671.0000000000
413 674.0000000000
505 680.0000000000
584 682.0000000000
602 687.0000000000
1289 691.0000000000
1344 694.0000000000
1848 696.0000000000
1976 702.0000000000
3640 703.0000000000
4425 704.0000000000
4735 707.0000000000
5509 714.0000000000
7903 715.0000000000
8338 717.0000000000
9193 718.0000000000
10077 719.0000000000
12914 720.0000000000
100000 476.0000000000
evaluations raw_y
1 0.0000000000
2 328.0000000000
3 392.0000000000
4 465.0000000000
5 531.0000000000
12 571.0000000000
33 594.0000000000
42 612.0000000000
51 637.0000000000
78 644.0000000000
92 655.0000000000
455 672.0000000000
672 675.0000000000
876 680.0000000000
961 683.0000000000
1417 690.0000000000
1751 691.0000000000
1870 699.0000000000
4138 701.0000000000
4324 705.0000000000
4778 707.0000000000
5989 708.0000000000
6052 710.0000000000
10260 712.0000000000
10563 713.0000000000
11687 716.0000000000
45755 717.0000000000
48025 718.0000000000
52008 719.0000000000
100000 711.0000000000
evaluations raw_y
1 0.0000000000
2 90.0000000000
3 206.0000000000
4 294.0000000000
7 341.0000000000
8 494.0000000000
11 535.0000000000
19 547.0000000000
38 585.0000000000
81 614.0000000000
90 629.0000000000
97 631.0000000000
112 641.0000000000
113 653.0000000000
115 656.0000000000
125 659.0000000000
169 670.0000000000
366 674.0000000000
539 677.0000000000
561 682.0000000000
570 686.0000000000
681 689.0000000000
779 692.0000000000
1469 696.0000000000
1609 697.0000000000
1805 699.0000000000
2189 702.0000000000
2332 705.0000000000
2666 706.0000000000
2740 707.0000000000
9626 708.0000000000
10818 709.0000000000
11009 710.0000000000
15549 711.0000000000
15595 713.0000000000
15783 714.0000000000
15854 715.0000000000
15972 719.0000000000
18257 720.0000000000
25298 722.0000000000
30899 723.0000000000
60861 726.0000000000
100000 426.0000000000
evaluations raw_y
1 0.0000000000
2 114.0000000000
3 234.0000000000
5 314.0000000000
6 346.0000000000
7 368.0000000000
8 412.0000000000
9 472.0000000000
10 473.0000000000
14 488.0000000000
16 582.0000000000
38 608.0000000000
46 621.0000000000
56 634.0000000000
92 637.0000000000
157 639.0000000000
161 645.0000000000
192 657.0000000000
247 667.0000000000
322 668.0000000000
496 669.0000000000
580 670.0000000000
600 673.0000000000
807 674.0000000000
826 678.0000000000
847 680.0000000000
891 684.0000000000
1144 688.0000000000
1218 689.0000000000
1273 692.0000000000
1464 695.0000000000
1813 699.0000000000
3006 705.0000000000
3641 709.0000000000
5610 711.0000000000
5903 714.0000000000
6430 717.0000000000
10357 718.0000000000
13455 719.0000000000
20731 721.0000000000
21075 722.0000000000
60731 723.0000000000
100000 563.0000000000
evaluations raw_y
1 0.0000000000
2 110.0000000000
3 118.0000000000
4 293.0000000000
5 407.0000000000
8 417.0000000000
13 454.0000000000
15 539.0000000000
16 586.0000000000
41 596.0000000000
77 604.0000000000
86 617.0000000000
88 643.0000000000
102 647.0000000000
249 649.0000000000
269 653.0000000000
311 661.0000000000
362 664.0000000000
402 671.0000000000
653 673.0000000000
677 678.0000000000
821 687.0000000000
882 688.0000000000
1198 689.0000000000
1751 690.0000000000
1955 694.0000000000
2001 695.0000000000
2564 701.0000000000
3301 704.0000000000
3349 705.0000000000
4251 706.0000000000
4427 707.0000000000
5752 709.0000000000
6404 710.0000000000
8702 712.0000000000
16284 713.0000000000
16379 715.0000000000
18610 716.0000000000
23507 718.0000000000
25873 719.0000000000
31602 723.0000000000
100000 272.0000000000
evaluations raw_y
1 0.0000000000
2 117.0000000000
3 273.0000000000
4 377.0000000000
9 433.0000000000
11 532.0000000000
19 550.0000000000
25 570.0000000000
26 600.0000000000
28 602.0000000000
42 607.0000000000
47 627.0000000000
55 631.0000000000
123 650.0000000000
156 654.0000000000
179 661.0000000000
219 662.0000000000
313 668.0000000000
398 672.0000000000
477 673.0000000000
486 679.0000000000
513 686.0000000000
633 690.0000000000
734 693.0000000000
1896 695.0000000000
2378 698.0000000000
3131 701.0000000000
3449 703.0000000000
3726 705.0000000000
3875 711.0000000000
25334 712.0000000000
59169 713.0000000000
59645 716.0000000000
66904 717.0000000000
74739 719.0000000000
87894 720.0000000000
100000 237.0000000000
evaluations raw_y
1 0.0000000000
2 103.0000000000
3 109.0000000000
4 176.0000000000
6 273.0000000000
7 321.0000000000
9 395.0000000000
13 502.0000000000
27 524.0000000000
32 602.0000000000
53 603.0000000000
56 621.0000000000
72 626.0000000000
80 636.0000000000
122 641.0000000000
133 643.0000000000
192 649.0000000000
218 654.0000000000
245 657.0000000000
306 659.0000000000
383 665.0000000000
409 668.0000000000
419 673.0000000000
617 678.0000000000
690 680.0000000000
1317 684.0000000000
1393 685.0000000000
1545 688.0000000000
1628 693.0000000000
3479 694.0000000000
3503 695.0000000000
3536 703.0000000000
5370 707.0000000000
7542 710.0000000000
7725 713.0000000000
9608 715.0000000000
10097 717.0000000000
17579 718.0000000000
27875 719.0000000000
34069 721.0000000000
34949 722.0000000000
47700 723.0000000000
100000 627.0000000000
evaluations raw_y
1 0.0000000000
2 103.0000000000
3 207.0000000000
6 248.0000000000
7 273.0000000000
9 388.0000000000
12 482.0000000000
14 517.0000000000
25 545.0000000000
28 611.0000000000
35 625.0000000000
56 650.0000000000
111 653.0000000000
128 654.0000000000
141 662.0000000000
244 664.0000000000
269 667.0000000000
319 679.0000000000
571 683.0000000000
676 686.0000000000
699 688.0000000000
932 689.0000000000
960 698.0000000000
1047 701.0000000000
3094 702.0000000000
3166 705.0000000000
3479 708.0000000000
5775 712.0000000000
6309 717.0000000000
10406 718.0000000000
11379 719.0000000000
11641 721.0000000000
12354 725.0000000000
17963 727.0000000000
28996 731.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 198.0000000000
3 256.0000000000
5 326.0000000000
6 410.0000000000
12 502.0000000000
19 515.0000000000
27 535.0000000000
31 543.0000000000
40 608.0000000000
46 617.0000000000
64 639.0000000000
95 647.0000000000
123 655.0000000000
130 658.0000000000
147 667.0000000000
232 672.0000000000
594 676.0000000000
813 681.0000000000
818 685.0000000000
869 689.0000000000
1042 694.0000000000
1059 698.0000000000
1354 700.0000000000
1974 704.0000000000
3886 706.0000000000
6232 708.0000000000
8059 710.0000000000
9078 711.0000000000
9678 712.0000000000
9894 716.0000000000
10831 717.0000000000
31999 718.0000000000
57010 720.0000000000
100000 94.0000000000
evaluations raw_y
1 0.0000000000
2 189.0000000000
3 269.0000000000
4 351.0000000000
5 435.0000000000
8 482.0000000000
11 502.0000000000
18 535.0000000000
23 566.0000000000
28 585.0000000000
32 604.0000000000
52 615.0000000000
58 637.0000000000
69 642.0000000000
117 644.0000000000
121 645.0000000000
210 646.0000000000
266 649.0000000000
319 657.0000000000
324 662.0000000000
327 672.0000000000
480 678.0000000000
816 679.0000000000
907 681.0000000000
970 684.0000000000
1107 688.0000000000
1140 689.0000000000
1431 696.0000000000
2122 699.0000000000
2516 701.0000000000
2716 704.0000000000
3082 706.0000000000
4858 709.0000000000
10355 711.0000000000
11053 712.0000000000
11438 713.0000000000
20633 715.0000000000
22088 716.0000000000
23906 718.0000000000
24086 720.0000000000
26831 721.0000000000
30041 722.0000000000
30242 724.0000000000
100000 115.0000000000
evaluations raw_y
1 0.0000000000
2 114.0000000000
3 142.0000000000
4 149.0000000000
7 151.0000000000
8 355.0000000000
11 419.0000000000
18 456.0000000000
23 463.0000000000
24 519.0000000000
30 541.0000000000
36 590.0000000000
46 607.0000000000
47 622.0000000000
56 633.0000000000
78 640.0000000000
81 653.0000000000
105 656.0000000000
117 658.0000000000
167 660.0000000000
169 664.0000000000
174 666.0000000000
176 678.0000000000
895 679.0000000000
957 680.0000000000
982 685.0000000000
1394 691.0000000000
1762 692.0000000000
2076 694.0000000000
2123 696.0000000000
3199 698.0000000000
3820 699.0000000000
4216 702.0000000000
5086 704.0000000000
5112 705.0000000000
5738 707.0000000000
7627 708.0000000000
8224 709.0000000000
13418 711.0000000000
15466 713.0000000000
15984 714.0000000000
25128 715.0000000000
27423 716.0000000000
28048 718.0000000000
100000 152.0000000000
evaluations raw_y
1 0.0000000000
2 109.0000000000
3 179.0000000000
4 251.0000000000
5 320.0000000000
6 390.0000000000
7 403.0000000000
12 487.0000000000
13 493.0000000000
27 564.0000000000
31 590.0000000000
32 591.0000000000
33 596.0000000000
36 606.0000000000
51 622.0000000000
63 632.0000000000
94 647.0000000000
113 649.0000000000
171 651.0000000000
235 658.0000000000
286 663.0000000000
313 669.0000000000
390 674.0000000000
406 680.0000000000
876 682.0000000000
941 683.0000000000
1050 685.0000000000
1399 686.0000000000
1745 687.0000000000
1866 691.0000000000
2095 693.0000000000
2192 696.0000000000
2496 697.0000000000
2529 699.0000000000
2834 700.0000000000
3047 704.0000000000
3113 708.0000000000
3485 710.0000000000
3512 711.0000000000
